"p","U:0","U:1","U:2","k","nut","omega","y","yPlus","Vorticity:0","Vorticity:1","Vorticity:2","VectorGradient:0","VectorGradient:1","VectorGradient:2","VectorGradient:3","VectorGradient:4","VectorGradient:5","VectorGradient:6","VectorGradient:7","VectorGradient:8","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-82.06,0,0,0,9.3754,0,2.5819e+05,1e-15,8.8364,-0,0,-1.5563e+05,-9.4439,1.5563e+05,0,-0.012542,20.863,0,-0,-0,0,1,0.57,-0.93,0.0127,0.025
-83.511,2.6821e-13,3.3345e-17,0,9.2338,7.9789e-19,2.5732e+05,1.0018e-15,8.7695,-0,0,-1.5563e+05,-9.4439,1.5563e+05,0,-0.012542,20.863,0,-0,-0,0,1,0.585,-0.915,0.0127,0.025
-84.934,0,0,0,9.1104,0,2.5656e+05,1e-15,8.7107,-0,0,-1.5295e+05,-7.9221,1.5295e+05,0,-0.0093001,17.483,0,-0,-0,0,1,0.6,-0.9,0.0127,0.025
-86.345,0,0,0,8.9939,0,2.5584e+05,1e-15,8.6549,-0,0,-1.5073e+05,-6.8032,1.5073e+05,0,-0.0071849,14.997,0,-0,-0,0,1,0.615,-0.885,0.0127,0.025
-87.737,0,0,0,8.8888,0,2.5518e+05,1e-15,8.6042,-0,0,-1.5073e+05,-6.8032,1.5073e+05,0,-0.0071849,14.997,0,-0,-0,0,1,0.63,-0.87,0.0127,0.025
-89.112,0,0,0,8.7926,0,2.5459e+05,1e-15,8.5575,-0,0,-1.4885e+05,-5.9456,1.4885e+05,0,-0.0057263,13.098,0,-0,-0,0,1,0.645,-0.855,0.0127,0.025
-90.476,0,0,0,8.7018,0,2.5402e+05,1e-15,8.5132,-0,0,-1.4724e+05,-5.2736,1.4724e+05,0,-0.0046462,11.611,0,-0,-0,0,1,0.66,-0.84,0.0127,0.025
-91.823,0,0,0,8.6192,0,2.535e+05,1e-15,8.4728,-0,0,-1.4724e+05,-5.2736,1.4724e+05,0,-0.0046462,11.611,0,-0,-0,0,1,0.675,-0.825,0.0127,0.025
-93.157,0,0,0,8.5421,0,2.5302e+05,1e-15,8.4348,-0,0,-1.4585e+05,-4.7392,1.4585e+05,0,-0.0038662,10.421,0,-0,-0,0,1,0.69,-0.81,0.0127,0.025
-94.482,0,0,0,8.4691,0,2.5256e+05,1e-15,8.3987,-0,0,-1.4461e+05,-4.2967,1.4461e+05,0,-0.0032926,9.4455,0,-0,-0,0,1,0.705,-0.795,0.0127,0.025
